,name,latitude,longitude,cables
30,"Bata, Equatorial Guinea",1.860067,9.768227,"[{'id': 'africa-coast-to-europe-ace', 'name': 'Africa Coast to Europe (ACE)', 'cable_id': 1629.0}, {'id': 'ceiba-1', 'name': 'Ceiba-1', 'cable_id': 1699.0}, {'id': 'ceiba-2', 'name': 'Ceiba-2', 'cable_id': 1842.0}]"
31,"Masohi, Indonesia",-3.29784,128.955267,"[{'id': 'smpcs-packet-1', 'name': 'SMPCS Packet-1', 'cable_id': 1884.0}]"
32,"Malabo, Equatorial Guinea",3.749788,8.783364,"[{'id': 'ceiba-1', 'name': 'Ceiba-1', 'cable_id': 1699.0}, {'id': 'ceiba-2', 'name': 'Ceiba-2', 'cable_id': 1842.0}]"
33,"Muscat, Oman",23.615098,58.591043,"[{'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}, {'id': 'silk-route-gateway-srg-1', 'name': 'Silk Route Gateway (SRG-1)', 'cable_id': 1849.0}]"
34,"Mata-Utu, Wallis and Futuna",-13.281991,-176.175,"[{'id': 'tui-samoa', 'name': 'Tui-Samoa', 'cable_id': 1855.0}]"
35,"Paddington, Australia",-33.882128,151.22867,"[{'id': 'australia-japan-cable-ajc', 'name': 'Australia-Japan Cable (AJC)', 'cable_id': 1102.0}, {'id': 'telstra-endeavour', 'name': 'Telstra Endeavour', 'cable_id': 1526.0}]"
36,"Vila Olga, VI, United States",18.335731,-64.948022,"[{'id': 'st-thomas-st-croix-system', 'name': 'St. Thomas-St. Croix System', 'cable_id': 1756.0}]"
37,"Kourou, French Guiana",5.168293,-52.64555,"[{'id': 'kanawa', 'name': 'Kanawa', 'cable_id': 1914.0}]"
38,"Rota, Spain",36.626274,-6.363003,"[{'id': 'canalink', 'name': 'Canalink', 'cable_id': 1666.0}]"
39,"Vung Tau, Vietnam",10.34185,107.079203,"[{'id': 'asia-africa-europe-1-aae-1', 'name': 'Asia Africa Europe-1 (AAE-1)', 'cable_id': 1739.0}, {'id': 'asia-america-gateway-aag-cable-system', 'name': 'Asia-America Gateway (AAG) Cable System', 'cable_id': 1507.0}, {'id': 'tata-tgn-intra-asia-tgn-ia', 'name': 'Tata TGN-Intra Asia (TGN-IA)', 'cable_id': 1534.0}]"
